match_id,Result,home_score,away_score,match_day,home_team,away_team,venue_id,corners_h,fouls_h,free_kicks_h,goals_h,goal_kicks_h,offsides_h,penalties_h,possession_h,shots_off_target_h,shots_on_target_h,shots_woodwork_h,substitutions_H,throw_ins_h,yellow_cards_h,yellow_red_cards_h,red_cards_h,shots_blocked_h,attacks_h,dangerous_attacks_h,corners_a,fouls_a,free_kicks_a,goals_a,goal_kicks_a,offsides_a,penalties_a,possession_a,shots_off_target_a,shots_on_target_a,shots_woodwork_a,substitutions_A,throw_ins_a,yellow_cards_a,yellow_red_cards_a,red_cards_a,shots_blocked_a,attacks_a,dangerous_attacks_a
2043045,2,0,1,1,AFC Bournemouth,Aston Villa,520,6,12,13,0,3,0,0,60,7,2,0,0,27,0,0,0,2,49,36,3,13,12,1,13,0,0,40,1,1,0,0,19,0,0,0,0,36,22
2043046,2,1,3,1,Norwich FC,Crystal Palace,467,1,14,22,1,4,3,0,61,8,5,1,0,23,0,0,0,2,70,43,4,19,17,3,12,2,0,39,1,4,0,0,20,0,0,0,2,66,36
2043047,2,0,1,1,Stoke City,Liverpool FC,432,3,8,19,0,4,2,0,54,0,4,0,0,25,0,0,0,1,48,26,5,17,10,1,5,2,0,46,0,2,0,0,21,0,0,0,2,40,33
2043048,2,0,3,1,West Bromwich Albion,Manchester City,433,6,12,9,0,2,2,0,37,4,3,0,0,16,0,0,0,0,49,26,6,9,14,3,10,0,0,63,2,5,0,0,13,0,0,0,0,55,29
2043049,x,2,2,1,Everton FC,Watford FC,92,6,10,14,2,11,0,0,56,3,5,0,0,32,0,0,0,0,56,49,6,11,10,2,6,3,0,44,7,7,0,0,20,0,0,0,0,49,45
2043050,1,4,2,1,Leicester City,Sunderland AFC,473,6,13,17,4,6,0,1,50,8,6,1,0,21,0,0,0,1,57,40,3,15,13,2,10,1,0,50,4,4,0,0,25,0,0,0,2,56,32
2043051,x,2,2,1,Chelsea FC,Swansea FC,83,4,14,22,2,2,2,0,54,5,3,0,0,19,0,0,1,0,46,39,8,18,16,2,7,4,1,46,1,7,0,0,21,0,0,0,1,39,29
2043052,1,1,0,1,Manchester United,Tottenham Hotspur,430,1,12,14,1,4,1,0,51,3,1,0,0,25,0,0,0,1,71,27,2,12,13,0,7,2,0,49,2,1,0,0,24,0,0,0,0,71,22
2043053,x,2,2,1,Newcastle United,Southampton FC,84,8,7,14,2,8,4,0,65,4,4,0,0,30,0,0,0,1,84,54,2,13,11,2,10,1,0,35,4,2,0,0,15,0,0,0,2,61,31
2043054,2,0,2,1,Arsenal FC,West Ham United,81,5,12,10,0,7,3,0,58,8,7,1,0,18,0,0,0,5,69,49,4,9,15,2,11,1,0,42,3,1,0,0,21,0,0,0,1,54,25
2043055,2,1,2,2,Crystal Palace,Arsenal FC,464,6,14,13,1,7,3,0,44,3,4,1,0,14,0,0,0,3,58,31,6,11,17,2,6,2,0,56,6,10,0,0,20,0,0,0,4,73,40
2043056,1,1,0,2,Liverpool FC,AFC Bournemouth,85,6,11,18,1,9,1,0,54,12,1,1,0,19,0,0,0,4,64,43,8,18,12,0,15,0,0,46,7,3,0,0,32,0,0,0,3,58,33
2043057,1,3,0,2,Manchester City,Chelsea FC,87,5,20,16,3,9,1,0,48,6,5,0,0,18,0,0,0,4,50,37,1,13,21,0,7,3,0,52,2,2,1,0,17,0,0,0,3,57,37
2043058,2,0,3,2,Watford FC,Newcastle United,468,9,11,12,0,3,1,0,55,7,4,0,0,23,0,0,0,3,59,38,9,10,12,3,12,2,0,45,1,5,0,0,15,0,0,0,0,54,28
2043059,2,1,2,2,West Ham United,Leicester City,90,8,11,13,1,10,1,0,50,4,3,1,0,34,0,0,1,0,58,43,4,12,12,2,13,1,0,50,4,2,0,0,15,0,0,0,2,51,29
2043060,2,0,1,2,Aston Villa,Manchester United,86,3,14,13,0,7,4,0,51,2,1,0,0,25,0,0,0,0,58,40,5,10,18,1,4,3,0,49,5,1,0,0,18,0,0,0,1,47,30
2043061,1,2,0,2,Swansea FC,Everton FC,456,4,10,9,2,4,2,0,63,2,5,2,0,25,0,0,0,1,79,55,4,8,12,0,10,1,0,37,2,2,0,0,21,0,1,0,0,49,22
2043062,2,1,3,2,Sunderland AFC,Norwich FC,96,6,7,8,1,6,2,0,46,2,1,0,0,22,0,0,0,0,46,29,6,7,9,3,6,1,0,54,4,1,0,0,32,0,0,0,1,50,37
2043063,x,2,2,2,Tottenham Hotspur,Stoke City,91,4,14,14,2,10,3,0,49,5,4,0,0,35,0,0,0,2,63,30,3,11,17,2,4,3,1,51,5,5,0,0,21,0,0,0,2,60,26
2043064,x,0,0,2,Southampton FC,West Bromwich Albion,465,2,11,10,0,8,0,0,64,7,7,0,0,33,0,0,0,2,102,52,4,10,13,0,16,0,0,36,4,0,0,0,13,0,0,0,1,77,26
2043065,1,2,1,3,Crystal Palace,Aston Villa,464,6,12,15,2,11,4,0,51,7,3,0,0,16,0,0,0,3,76,39,4,14,16,1,14,0,0,49,8,1,0,0,23,0,0,0,2,61,29
2043066,2,3,4,3,West Ham United,AFC Bournemouth,90,5,6,11,3,9,3,1,46,2,0,0,0,25,0,0,1,2,53,46,4,10,10,4,7,1,1,54,4,4,0,0,32,0,0,0,1,52,41
2043067,2,2,3,3,West Bromwich Albion,Chelsea FC,433,8,9,12,2,10,2,1,49,5,3,0,0,20,0,0,0,1,47,30,7,11,11,3,7,1,0,51,7,2,0,0,13,0,0,1,0,53,31
2043068,x,0,0,3,Arsenal FC,Liverpool FC,81,7,2,17,0,3,4,0,61,7,7,0,0,19,0,0,0,6,66,42,8,13,6,0,11,4,0,39,5,6,2,0,23,0,0,0,2,56,34
