home_score,away_score,home_team_id,away_team_id
0,2,Nurnberg,Karlsruher SC
0,0,Bayer Leverkusen,Energie Cottbus
2,2,Bochum,Werder Bremen
1,0,Eintracht Frankfurt,Hertha BSC
1,3,VfL Wolfsburg,Arminia Bielefeld
1,3,Borussia Dortmund,MSV Duisburg
2,2,VfB Stuttgart,Schalke 04
0,1,Hannover 96,Hamburger SV
3,0,Bayern Munich,Hansa Rostock
0,4,Werder Bremen,Bayern Munich
2,2,Arminia Bielefeld,Eintracht Frankfurt
3,1,Hertha BSC,VfB Stuttgart
1,2,Karlsruher SC,Hannover 96
1,0,Hamburger SV,Bayer Leverkusen
1,3,MSV Duisburg,VfL Wolfsburg
1,2,Hansa Rostock,Nurnberg
4,1,Schalke 04,Borussia Dortmund
1,2,Energie Cottbus,Bochum
2,0,Arminia Bielefeld,Hertha BSC
2,1,Bochum,Hamburger SV
1,0,VfB Stuttgart,MSV Duisburg
0,1,Nurnberg,Werder Bremen
3,0,Borussia Dortmund,Energie Cottbus
1,0,Eintracht Frankfurt,Hansa Rostock
1,1,VfL Wolfsburg,Schalke 04
3,0,Bayern Munich,Hannover 96
3,0,Bayer Leverkusen,Karlsruher SC
2,1,Werder Bremen,Eintracht Frankfurt
3,0,MSV Duisburg,Arminia Bielefeld
0,1,Hansa Rostock,Borussia Dortmund
1,1,Energie Cottbus,Nurnberg
3,2,Hannover 96,Bochum
1,0,Karlsruher SC,VfB Stuttgart
2,1,Hertha BSC,VfL Wolfsburg
1,1,Hamburger SV,Bayern Munich
1,1,Schalke 04,Bayer Leverkusen
2,1,Eintracht Frankfurt,Hamburger SV
3,0,Borussia Dortmund,Werder Bremen
2,2,Nurnberg,Hannover 96
4,2,Arminia Bielefeld,Hansa Rostock
2,0,Bayer Leverkusen,Bochum
1,2,MSV Duisburg,Hertha BSC
3,0,VfB Stuttgart,Energie Cottbus
1,2,VfL Wolfsburg,Karlsruher SC
1,1,Bayern Munich,Schalke 04
4,1,Werder Bremen,VfB Stuttgart
0,3,Hannover 96,Bayer Leverkusen
1,4,Karlsruher SC,Bayern Munich
1,0,Hamburger SV,Nurnberg
0,0,Bochum,Eintracht Frankfurt
2,0,Hansa Rostock,MSV Duisburg
3,0,Schalke 04,Arminia Bielefeld
1,2,Energie Cottbus,VfL Wolfsburg
3,2,Hertha BSC,Borussia Dortmund
0,3,Borussia Dortmund,Hamburger SV
0,2,MSV Duisburg,Schalke 04
1,2,Nurnberg,Bayer Leverkusen
1,0,VfB Stuttgart,Bochum
5,0,Bayern Munich,Energie Cottbus
0,2,Arminia Bielefeld,Hannover 96
1,1,VfL Wolfsburg,Werder Bremen
0,1,Eintracht Frankfurt,Karlsruher SC
1,3,Hertha BSC,Hansa Rostock
2,1,Hansa Rostock,VfB Stuttgart
2,1,Hannover 96,MSV Duisburg
1,0,Schalke 04,Hertha BSC
2,2,Hamburger SV,VfL Wolfsburg
0,1,Bayer Leverkusen,Bayern Munich
2,2,Energie Cottbus,Eintracht Frankfurt
3,3,Bochum,Nurnberg
3,1,Karlsruher SC,Borussia Dortmund
8,1,Werder Bremen,Arminia Bielefeld
2,1,Eintracht Frankfurt,Bayer Leverkusen
0,0,Hertha BSC,Energie Cottbus
1,0,VfL Wolfsburg,Hansa Rostock
0,2,Schalke 04,Karlsruher SC
0,2,VfB Stuttgart,Hannover 96
2,1,Borussia Dortmund,Bochum
1,3,MSV Duisburg,Werder Bremen
3,0,Bayern Munich,Nurnberg
0,1,Arminia Bielefeld,Hamburger SV
1,2,Bochum,Bayern Munich
4,1,Hamburger SV,VfB Stuttgart
0,0,Karlsruher SC,Arminia Bielefeld
1,2,Energie Cottbus,MSV Duisburg
1,1,Hansa Rostock,Schalke 04
2,2,Hannover 96,VfL Wolfsburg
5,1,Nurnberg,Eintracht Frankfurt
3,2,Werder Bremen,Hertha BSC
2,2,Bayer Leverkusen,Borussia Dortmund
2,0,Hertha BSC,Bochum
0,0,Borussia Dortmund,Bayern Munich
1,1,Schalke 04,Werder Bremen
1,0,VfB Stuttgart,Bayer Leverkusen
0,1,MSV Duisburg,Hamburger SV
1,1,Arminia Bielefeld,Energie Cottbus
