home_score,away_score,home_team_id,away_team_id
0,0,Strasbourg,Olympique Marseille
1,0,Bordeaux,Lens
1,0,Caen,Nice
0,0,Lille,Lorient
1,1,AS Monaco,Saint-Etienne
0,0,PSG,Sochaux
0,2,Rennes,Nancy
3,1,Valenciennes,Tolouse
1,0,Le Mans,Metz
2,0,Olympique Lyonnais,Auxerre
1,0,Tolouse,Olympique Lyonnais
0,2,Auxerre,Bordeaux
2,1,Lorient,AS Monaco
0,0,Olympique Marseille,Rennes
1,0,Nancy,Caen
1,0,Nice,Strasbourg
3,1,Saint-Etienne,Valenciennes
1,3,Sochaux,Le Mans
1,2,Metz,Lille
0,0,Lens,PSG
2,1,Valenciennes,Olympique Marseille
1,2,Bordeaux,Le Mans
1,1,Lille,Sochaux
2,0,AS Monaco,Metz
1,3,PSG,Lorient
3,0,Strasbourg,Auxerre
1,0,Rennes,Saint-Etienne
2,1,Nancy,Nice
0,3,Sochaux,AS Monaco
1,0,Auxerre,Caen
1,1,Le Mans,Lille
2,1,Lorient,Olympique Lyonnais
0,0,Metz,PSG
0,0,Saint-Etienne,Bordeaux
1,3,Tolouse,Strasbourg
0,0,Lens,Valenciennes
1,1,Nice,Rennes
2,2,Olympique Marseille,Nancy
1,2,Caen,Olympique Marseille
2,2,Bordeaux,Lorient
3,1,AS Monaco,Le Mans
4,1,Nancy,Auxerre
1,1,Nice,Tolouse
2,0,Rennes,Metz
2,1,Strasbourg,Lens
3,1,Valenciennes,Sochaux
1,1,PSG,Lille
1,0,Olympique Lyonnais,Saint-Etienne
1,3,Lorient,Valenciennes
0,2,Olympique Marseille,Nice
0,2,Auxerre,Rennes
0,2,Le Mans,PSG
0,1,Lille,AS Monaco
0,1,Metz,Bordeaux
2,0,Saint-Etienne,Strasbourg
1,2,Sochaux,Olympique Lyonnais
2,1,Bordeaux,AS Monaco
2,2,Caen,Sochaux
3,2,Olympique Lyonnais,Le Mans
2,0,Nancy,Saint-Etienne
2,2,Rennes,Lille
0,0,Strasbourg,Lorient
2,0,Tolouse,Auxerre
0,0,Valenciennes,Metz
1,1,PSG,Olympique Marseille
1,0,Nice,Lens
1,2,Olympique Marseille,Tolouse
2,0,Auxerre,Nice
2,0,Le Mans,Valenciennes
1,0,Lens,Nancy
1,1,Lille,Bordeaux
1,5,Metz,Olympique Lyonnais
3,0,Saint-Etienne,Caen
0,0,Sochaux,Strasbourg
1,2,AS Monaco,PSG
0,1,Lorient,Rennes
2,0,Auxerre,Olympique Marseille
1,2,Caen,Metz
2,0,Nancy,Lorient
3,0,Nice,Saint-Etienne
0,1,Strasbourg,Le Mans
1,1,Tolouse,Lens
1,0,Valenciennes,AS Monaco
0,2,PSG,Bordeaux
0,2,Rennes,Sochaux
1,1,Olympique Lyonnais,Lille
3,0,Olympique Lyonnais,Lens
2,1,Caen,Tolouse
1,3,AS Monaco,Nancy
1,0,Saint-Etienne,Olympique Marseille
2,0,Le Mans,Nice
2,0,Lens,Auxerre
3,0,Lille,Valenciennes
0,0,Lorient,Caen
1,2,Metz,Strasbourg
1,3,PSG,Rennes
1,3,Bordeaux,Olympique Lyonnais
0,1,Sochaux,Tolouse
5,3,Auxerre,Lorient
1,0,Caen,Lille
3,1,Nice,Metz
3,0,Rennes,Le Mans
1,1,Strasbourg,Bordeaux
0,2,Tolouse,Saint-Etienne
0,0,Valenciennes,PSG
3,1,Olympique Lyonnais,AS Monaco
1,1,Nancy,Sochaux
1,0,Olympique Marseille,Lens
0,0,Metz,Nancy
2,1,Bordeaux,Valenciennes
0,3,Lille,Strasbourg
0,0,Lorient,Nice
0,0,AS Monaco,Caen
0,0,Saint-Etienne,Auxerre
2,1,Sochaux,Olympique Marseille
1,1,Le Mans,Tolouse
1,2,Lens,Rennes
2,3,PSG,Olympique Lyonnais
1,0,Nancy,Bordeaux
0,1,Auxerre,Lille
2,0,Olympique Lyonnais,Valenciennes
0,0,Olympique Marseille,Lorient
0,0,Nice,Sochaux
0,1,Rennes,AS Monaco
1,2,Strasbourg,PSG
3,2,Caen,Le Mans
0,0,Tolouse,Metz
3,2,Lens,Saint-Etienne
3,2,Le Mans,Saint-Etienne
1,1,Lille,Nice
1,2,Metz,Lens
3,0,AS Monaco,Strasbourg
0,0,PSG,Nancy
1,1,Sochaux,Auxerre
3,0,Valenciennes,Caen
3,0,Bordeaux,Rennes
1,0,Lorient,Tolouse
1,2,Olympique Lyonnais,Olympique Marseille
0,2,Rennes,Olympique Lyonnais
5,0,Caen,Bordeaux
1,1,Lens,Lorient
3,1,Olympique Marseille,Metz
2,0,Nancy,Lille
1,0,Saint-Etienne,Sochaux
0,0,Strasbourg,Valenciennes
0,0,Tolouse,AS Monaco
3,0,Auxerre,Le Mans
2,1,Nice,PSG
1,1,Lens,Caen
2,1,Le Mans,Nancy
1,1,Lille,Olympique Marseille
1,1,Lorient,Saint-Etienne
0,1,Metz,Auxerre
1,1,AS Monaco,Nice
0,1,PSG,Caen
0,2,Sochaux,Lens
4,3,Bordeaux,Tolouse
3,0,Valenciennes,Rennes
5,0,Olympique Lyonnais,Strasbourg
1,1,Tolouse,Nancy
2,0,Olympique Marseille,AS Monaco
1,0,Caen,Olympique Lyonnais
1,3,Lens,Le Mans
2,1,Lorient,Sochaux
0,0,Nancy,Valenciennes
2,0,Saint-Etienne,Metz
3,0,Strasbourg,Rennes
1,0,Tolouse,Lille
1,1,Nice,Bordeaux
0,1,Auxerre,PSG
1,2,PSG,Tolouse
0,0,Olympique Lyonnais,Nice
0,0,Le Mans,Lorient
3,0,Lille,Saint-Etienne
1,2,Metz,Sochaux
2,0,AS Monaco,Lens
1,2,Rennes,Caen
3,0,Valenciennes,Auxerre
0,0,Strasbourg,Nancy
2,2,Bordeaux,Olympique Marseille
1,1,Nancy,Olympique Lyonnais
1,0,Auxerre,AS Monaco
2,0,Caen,Strasbourg
2,0,Lorient,Metz
1,0,Olympique Marseille,Le Mans
1,0,Nice,Valenciennes
0,1,Sochaux,Bordeaux
0,0,Tolouse,Rennes
0,1,Saint-Etienne,PSG
2,0,Valenciennes,Saint-Etienne
4,1,Bordeaux,Auxerre
1,0,AS Monaco,Lorient
1,1,Lille,Metz
0,0,Caen,Nancy
0,1,Strasbourg,Nice
0,2,Le Mans,Sochaux
3,2,Olympique Lyonnais,Tolouse
3,0,PSG,Lens
3,1,Rennes,Olympique Marseille
1,0,Lorient,PSG
1,2,Le Mans,Bordeaux
1,1,Tolouse,Caen
1,1,Sochaux,Lille
1,4,Metz,AS Monaco
2,0,Saint-Etienne,Rennes
1,1,Auxerre,Strasbourg
3,1,Olympique Marseille,Valenciennes
1,0,Nice,Nancy
3,0,Lens,Olympique Lyonnais
1,2,Valenciennes,Lens
0,0,Caen,Auxerre
3,1,Lille,Le Mans
2,0,Olympique Lyonnais,Lorient
3,0,PSG,Metz
1,1,Rennes,Nice
1,0,AS Monaco,Sochaux
2,0,Strasbourg,Tolouse
1,1,Nancy,Olympique Marseille
1,0,Bordeaux,Saint-Etienne
0,0,Lille,PSG
6,1,Olympique Marseille,Caen
1,0,Le Mans,AS Monaco
1,1,Tolouse,Nice
1,1,Metz,Rennes
2,2,Lens,Strasbourg
1,0,Sochaux,Valenciennes
0,0,Auxerre,Nancy
1,0,Lorient,Bordeaux
1,1,Saint-Etienne,Olympique Lyonnais
0,0,PSG,Le Mans
1,2,Rennes,Auxerre
0,0,AS Monaco,Lille
