home_score,away_score,home_team_id,away_team_id
4,1,Sevilla,Getafe
0,1,Espanyol,Real Valladolid
1,1,Recreativo Huelva,Real Betis
2,1,Real Madrid,Atletico Madrid
2,1,Real Murcia,Real Zaragoza
0,0,Racing Santander,FC Barcelona
0,3,Deportivo La Coruna,Almeria
0,3,Valencia,Villareal
3,0,Mallorca,Levante
0,0,Athletic Bilbao,Osasuna
3,1,FC Barcelona,Athletic Bilbao
1,1,Getafe,Recreativo Huelva
1,1,Real Zaragoza,Racing Santander
1,2,Almeria,Valencia
2,2,Real Betis,Espanyol
1,1,Osasuna,Sevilla
0,5,Villareal,Real Madrid
1,1,Atletico Madrid,Mallorca
0,0,Levante,Real Murcia
2,2,Real Valladolid,Deportivo La Coruna
1,0,Deportivo La Coruna,Real Betis
0,0,Osasuna,FC Barcelona
3,1,Real Madrid,Almeria
1,1,Athletic Bilbao,Real Zaragoza
1,0,Racing Santander,Levante
1,1,Real Murcia,Atletico Madrid
2,1,Valencia,Real Valladolid
0,1,Mallorca,Villareal
4,1,Sevilla,Recreativo Huelva
1,0,Espanyol,Getafe
2,1,Recreativo Huelva,Espanyol
1,1,Almeria,Mallorca
2,1,FC Barcelona,Sevilla
1,2,Levante,Athletic Bilbao
1,2,Real Betis,Valencia
2,1,Real Zaragoza,Osasuna
4,0,Atletico Madrid,Racing Santander
2,0,Villareal,Real Murcia
1,1,Real Valladolid,Real Madrid
0,0,Getafe,Deportivo La Coruna
2,1,Valencia,Getafe
2,3,Sevilla,Espanyol
0,2,Deportivo La Coruna,Recreativo Huelva
4,1,FC Barcelona,Real Zaragoza
0,2,Racing Santander,Villareal
4,1,Osasuna,Levante
0,1,Real Murcia,Almeria
0,2,Athletic Bilbao,Atletico Madrid
4,2,Mallorca,Real Valladolid
2,0,Real Madrid,Real Betis
2,0,Real Zaragoza,Sevilla
0,1,Almeria,Racing Santander
1,0,Espanyol,Deportivo La Coruna
1,4,Real Valladolid,Real Murcia
0,1,Recreativo Huelva,Valencia
0,1,Getafe,Real Madrid
1,0,Villareal,Athletic Bilbao
3,0,Real Betis,Mallorca
1,4,Levante,FC Barcelona
2,0,Atletico Madrid,Osasuna
4,2,Mallorca,Getafe
0,0,Real Murcia,Real Betis
3,2,Osasuna,Villareal
2,0,Racing Santander,Real Valladolid
3,0,Real Zaragoza,Levante
0,1,Sevilla,Deportivo La Coruna
1,2,Valencia,Espanyol
1,1,Athletic Bilbao,Almeria
2,0,Real Madrid,Recreativo Huelva
3,0,FC Barcelona,Atletico Madrid
0,2,Recreativo Huelva,Mallorca
4,0,Atletico Madrid,Real Zaragoza
0,2,Levante,Sevilla
3,1,Villareal,FC Barcelona
2,0,Getafe,Real Murcia
2,0,Almeria,Osasuna
2,4,Deportivo La Coruna,Valencia
2,1,Espanyol,Real Madrid
1,2,Real Valladolid,Athletic Bilbao
1,1,Real Betis,Racing Santander
4,1,Real Zaragoza,Villareal
0,1,Levante,Atletico Madrid
0,0,Athletic Bilbao,Real Betis
3,0,Sevilla,Valencia
2,2,Osasuna,Real Valladolid
3,1,Real Madrid,Deportivo La Coruna
1,0,Real Murcia,Recreativo Huelva
2,2,Mallorca,Espanyol
2,0,Racing Santander,Getafe
2,0,FC Barcelona,Almeria
1,1,Deportivo La Coruna,Mallorca
4,3,Atletico Madrid,Sevilla
1,5,Valencia,Real Madrid
0,1,Almeria,Real Zaragoza
3,0,Villareal,Levante
0,0,Recreativo Huelva,Racing Santander
0,0,Espanyol,Real Murcia
1,1,Real Valladolid,FC Barcelona
0,3,Real Betis,Osasuna
2,0,Getafe,Athletic Bilbao
0,2,Mallorca,Valencia
3,4,Atletico Madrid,Villareal
2,3,Real Zaragoza,Real Valladolid
3,0,FC Barcelona,Real Betis
2,0,Athletic Bilbao,Recreativo Huelva
1,1,Racing Santander,Espanyol
2,0,Sevilla,Real Madrid
0,2,Osasuna,Getafe
3,0,Levante,Almeria
0,2,Real Murcia,Deportivo La Coruna
0,0,Almeria,Atletico Madrid
2,1,Real Betis,Real Zaragoza
1,0,Real Valladolid,Levante
4,3,Real Madrid,Mallorca
2,0,Getafe,FC Barcelona
1,0,Recreativo Huelva,Osasuna
3,2,Villareal,Sevilla
2,1,Espanyol,Athletic Bilbao
3,0,Valencia,Real Murcia
0,1,Deportivo La Coruna,Racing Santander
2,2,Athletic Bilbao,Deportivo La Coruna
4,3,Atletico Madrid,Real Valladolid
1,1,Real Zaragoza,Getafe
1,2,Sevilla,Mallorca
3,0,FC Barcelona,Recreativo Huelva
1,0,Racing Santander,Valencia
1,2,Osasuna,Espanyol
4,3,Levante,Real Betis
1,1,Villareal,Almeria
1,1,Real Murcia,Real Madrid
1,1,Espanyol,FC Barcelona
2,0,Real Valladolid,Villareal
1,0,Almeria,Sevilla
1,2,Deportivo La Coruna,Osasuna
0,3,Valencia,Athletic Bilbao
3,1,Real Madrid,Racing Santander
2,1,Getafe,Levante
1,1,Mallorca,Real Murcia
0,2,Real Betis,Atletico Madrid
2,1,Recreativo Huelva,Real Zaragoza
0,1,Athletic Bilbao,Real Madrid
