home_score,away_score,home_team_id,away_team_id,description
2,2,Lazio,Torino,Lazio vs Torino
5,1,Juventus,Livorno,Juventus vs Livorno
3,1,Fiorentina,Empoli,Fiorentina vs Empoli
0,3,Genoa,Milan,Genoa vs Milan
1,1,Internazionale,Udinese,Internazionale vs Udinese
0,2,Napoli,Cagliari,Napoli vs Cagliari
2,2,Parma,Catania,Parma vs Catania
1,1,Reggina,Atalanta,Reggina vs Atalanta
1,2,Robur Siena,Sampdoria,Robur Siena vs Sampdoria
0,2,Palermo,Roma,Palermo vs Roma
0,2,Empoli,Internazionale,Empoli vs Internazionale
2,0,Atalanta,Parma,Atalanta vs Parma
2,3,Cagliari,Juventus,Cagliari vs Juventus
0,0,Catania,Genoa,Catania vs Genoa
2,4,Livorno,Palermo,Livorno vs Palermo
3,0,Roma,Robur Siena,Roma vs Robur Siena
2,2,Torino,Reggina,Torino vs Reggina
0,5,Udinese,Napoli,Udinese vs Napoli
0,0,Sampdoria,Lazio,Sampdoria vs Lazio
1,1,Milan,Fiorentina,Milan vs Fiorentina
1,1,Robur Siena,Milan,Robur Siena vs Milan
0,0,Lazio,Empoli,Lazio vs Empoli
2,2,Fiorentina,Atalanta,Fiorentina vs Atalanta
1,1,Genoa,Livorno,Genoa vs Livorno
2,0,Internazionale,Catania,Internazionale vs Catania
0,1,Juventus,Udinese,Juventus vs Udinese
2,0,Napoli,Sampdoria,Napoli vs Sampdoria
1,1,Palermo,Torino,Palermo vs Torino
0,2,Reggina,Roma,Reggina vs Roma
1,1,Parma,Cagliari,Parma vs Cagliari
2,0,Udinese,Reggina,Udinese vs Reggina
1,1,Milan,Parma,Milan vs Parma
2,1,Atalanta,Lazio,Atalanta vs Lazio
0,1,Cagliari,Palermo,Cagliari vs Palermo
0,1,Catania,Fiorentina,Catania vs Fiorentina
0,0,Empoli,Napoli,Empoli vs Napoli
2,2,Livorno,Internazionale,Livorno vs Internazionale
2,2,Roma,Juventus,Roma vs Juventus
1,1,Torino,Robur Siena,Torino vs Robur Siena
0,0,Sampdoria,Genoa,Sampdoria vs Genoa
1,0,Catania,Empoli,Catania vs Empoli
2,2,Fiorentina,Roma,Fiorentina vs Roma
3,2,Genoa,Udinese,Genoa vs Udinese
3,0,Internazionale,Sampdoria,Internazionale vs Sampdoria
4,0,Juventus,Reggina,Juventus vs Reggina
3,1,Lazio,Cagliari,Lazio vs Cagliari
1,0,Napoli,Livorno,Napoli vs Livorno
2,1,Palermo,Milan,Palermo vs Milan
2,0,Parma,Torino,Parma vs Torino
1,1,Robur Siena,Atalanta,Robur Siena vs Atalanta
1,4,Roma,Internazionale,Roma vs Internazionale
0,3,Livorno,Fiorentina,Livorno vs Fiorentina
1,0,Cagliari,Robur Siena,Cagliari vs Robur Siena
3,1,Empoli,Palermo,Empoli vs Palermo
1,1,Milan,Catania,Milan vs Catania
1,2,Napoli,Genoa,Napoli vs Genoa
1,1,Reggina,Lazio,Reggina vs Lazio
3,0,Sampdoria,Atalanta,Sampdoria vs Atalanta
2,1,Udinese,Parma,Udinese vs Parma
0,1,Torino,Juventus,Torino vs Juventus
0,0,Atalanta,Udinese,Atalanta vs Udinese
2,1,Internazionale,Napoli,Internazionale vs Napoli
1,0,Catania,Livorno,Catania vs Livorno
1,1,Fiorentina,Juventus,Fiorentina vs Juventus
2,0,Genoa,Cagliari,Genoa vs Cagliari
1,1,Palermo,Reggina,Palermo vs Reggina
0,3,Parma,Roma,Parma vs Roma
3,0,Robur Siena,Empoli,Robur Siena vs Empoli
1,0,Torino,Sampdoria,Torino vs Sampdoria
1,5,Lazio,Milan,Lazio vs Milan
4,4,Roma,Napoli,Roma vs Napoli
0,1,Reggina,Internazionale,Reggina vs Internazionale
2,2,Atalanta,Torino,Atalanta vs Torino
1,1,Cagliari,Catania,Cagliari vs Catania
3,0,Fiorentina,Robur Siena,Fiorentina vs Robur Siena
0,1,Livorno,Lazio,Livorno vs Lazio
0,1,Milan,Empoli,Milan vs Empoli
3,0,Sampdoria,Parma,Sampdoria vs Parma
1,1,Udinese,Palermo,Udinese vs Palermo
1,0,Juventus,Genoa,Juventus vs Genoa
2,0,Torino,Cagliari,Torino vs Cagliari
3,1,Napoli,Juventus,Napoli vs Juventus
2,0,Catania,Sampdoria,Catania vs Sampdoria
0,1,Empoli,Atalanta,Empoli vs Atalanta
0,1,Lazio,Udinese,Lazio vs Udinese
0,1,Milan,Roma,Milan vs Roma
0,0,Palermo,Internazionale,Palermo vs Internazionale
3,2,Parma,Livorno,Parma vs Livorno
0,0,Robur Siena,Reggina,Robur Siena vs Reggina
0,0,Genoa,Fiorentina,Genoa vs Fiorentina
2,2,Atalanta,Cagliari,Atalanta vs Cagliari
1,0,Fiorentina,Napoli,Fiorentina vs Napoli
4,1,Internazionale,Genoa,Internazionale vs Genoa
3,0,Juventus,Empoli,Juventus vs Empoli
1,1,Palermo,Parma,Palermo vs Parma
1,3,Reggina,Livorno,Reggina vs Livorno
3,2,Roma,Lazio,Roma vs Lazio
0,5,Sampdoria,Milan,Sampdoria vs Milan
1,1,Robur Siena,Catania,Robur Siena vs Catania
2,1,Udinese,Torino,Udinese vs Torino
0,1,Lazio,Fiorentina,Lazio vs Fiorentina
0,0,Milan,Torino,Milan vs Torino
0,3,Cagliari,Sampdoria,Cagliari vs Sampdoria
1,2,Catania,Atalanta,Catania vs Atalanta
2,2,Empoli,Roma,Empoli vs Roma
3,3,Genoa,Palermo,Genoa vs Palermo
0,0,Livorno,Udinese,Livorno vs Udinese
1,1,Napoli,Reggina,Napoli vs Reggina
2,2,Parma,Robur Siena,Parma vs Robur Siena
